ds,y
2020-8-25 15:00,1073.6
2020-8-25 16:00,990.8
2020-8-25 17:00,706.3
2020-8-25 18:00,500.6
2020-8-25 19:00,486.1
2020-8-25 20:00,626.3
2020-8-25 21:00,735.6
2020-8-25 22:00,742.5
2020-8-25 23:00,632.5
2020-8-26 00:00,518.5
2020-8-26 01:00,290
2020-8-26 02:00,183.1
2020-8-26 03:00,123.5
2020-8-26 04:00,112.8
2020-8-26 05:00,107.9
2020-8-26 06:00,157.2
2020-8-26 07:00,242.4
2020-8-26 08:00,543.8
2020-8-26 09:00,877.1
2020-8-26 10:00,1011.2
2020-8-26 11:00,1104
2020-8-26 12:00,827.6
2020-8-26 13:00,929.5
2020-8-26 14:00,1031.8
2020-8-26 15:00,1100.6
2020-8-26 16:00,1012
2020-8-26 17:00,781.5
2020-8-26 18:00,528.4
2020-8-26 19:00,546.7
2020-8-26 20:00,651.8
2020-8-26 21:00,712
2020-8-26 22:00,725.3
2020-8-26 23:00,612.9
2020-8-27 00:00,463.4
2020-8-27 01:00,264.6
2020-8-27 02:00,161.1
2020-8-27 03:00,107.3
2020-8-27 04:00,84.2
2020-8-27 05:00,89.8
2020-8-27 06:00,139.2
2020-8-27 07:00,229.8
2020-8-27 08:00,566.1
2020-8-27 09:00,884.6
2020-8-27 10:00,986.5
2020-8-27 11:00,967.8
2020-8-27 12:00,757.6
2020-8-27 13:00,902.7
2020-8-27 14:00,1036.5
2020-8-27 15:00,1064.7
2020-8-27 16:00,1009.3
2020-8-27 17:00,804
2020-8-27 18:00,532.1
2020-8-27 19:00,516.4
2020-8-27 20:00,636.9
2020-8-27 21:00,698.9
2020-8-27 22:00,683.4
2020-8-27 23:00,575.6
2020-8-28 00:00,404
2020-8-28 01:00,214.8
2020-8-28 02:00,123.5
2020-8-28 03:00,76.6
2020-8-28 04:00,60.4
2020-8-28 05:00,66.1
2020-8-28 06:00,102.5
2020-8-28 07:00,174
2020-8-28 08:00,475.2
2020-8-28 09:00,745.2
2020-8-28 10:00,827.3
2020-8-28 11:00,822.7
2020-8-28 12:00,640.8
2020-8-28 13:00,729.1
2020-8-28 14:00,808.8
2020-8-28 15:00,788.6
2020-8-28 16:00,750.1
2020-8-28 17:00,575.8
2020-8-28 18:00,386.8
2020-8-28 19:00,376.3
2020-8-28 20:00,484.2
2020-8-28 21:00,543.6
2020-8-28 22:00,559.7
2020-8-28 23:00,504.4
2020-8-29 00:00,418.5
2020-8-29 01:00,247
2020-8-29 02:00,144.3
2020-8-29 03:00,88.8
2020-8-29 04:00,65.8
2020-8-29 05:00,71.4
2020-8-29 06:00,99.7
2020-8-29 07:00,164.6
2020-8-29 08:00,254.8
2020-8-29 09:00,358.5
2020-8-29 10:00,437.2
2020-8-29 11:00,454.4
2020-8-29 12:00,436.3
2020-8-29 13:00,450.5
2020-8-29 14:00,496
2020-8-29 15:00,524.3
2020-8-29 16:00,481.2
2020-8-29 17:00,417.6
2020-8-29 18:00,360.8
2020-8-29 19:00,384.2
2020-8-29 20:00,512.1
2020-8-29 21:00,582.1
2020-8-29 22:00,598.6
2020-8-29 23:00,534.8
2020-8-30 00:00,456.2
2020-8-30 01:00,289.4
2020-8-30 02:00,174.6
2020-8-30 03:00,109.5
2020-8-30 04:00,83.9
2020-8-30 05:00,76.6
2020-8-30 06:00,105.6
2020-8-30 07:00,172.1
2020-8-30 08:00,262.4
2020-8-30 09:00,356.7
2020-8-30 10:00,450
2020-8-30 11:00,450.4
2020-8-30 12:00,484.9
2020-8-30 13:00,468.4
2020-8-30 14:00,510
2020-8-30 15:00,507.2
2020-8-30 16:00,505.3
2020-8-30 17:00,440.1
2020-8-30 18:00,385.9
2020-8-30 19:00,435.6
2020-8-30 20:00,572.4
2020-8-30 21:00,647.7
2020-8-30 22:00,664.3
2020-8-30 23:00,567.4
2020-8-31 00:00,486.9
2020-8-31 01:00,274.9
2020-8-31 02:00,171.2
2020-8-31 03:00,110.5
2020-8-31 04:00,107.4
2020-8-31 05:00,98.9
2020-8-31 06:00,148.2
2020-8-31 07:00,215.4
2020-8-31 08:00,467.6
2020-8-31 09:00,752.2
2020-8-31 10:00,939
2020-8-31 11:00,1006.9
2020-8-31 12:00,813.5
2020-8-31 13:00,1277.2
2020-8-31 14:00,1431
2020-8-31 15:00,1041.9
2020-8-31 16:00,1580.5
2020-8-31 17:00,755.8
2020-8-31 18:00,515.6
2020-8-31 19:00,509.6
2020-8-31 20:00,679.8
2020-8-31 21:00,752.7
2020-8-31 22:00,789.8
2020-8-31 23:00,732.6
2020-9-1 00:00,669.1
2020-9-1 01:00,308.4
2020-9-1 02:00,176.8
2020-9-1 03:00,132.6
2020-9-1 04:00,111.6
2020-9-1 05:00,108.8
2020-9-1 06:00,152.3
2020-9-1 07:00,251.8
2020-9-1 08:00,549.1
2020-9-1 09:00,833.6
2020-9-1 10:00,1001.8
2020-9-1 11:00,1265.5
2020-9-1 12:00,1292.8
2020-9-1 13:00,1003.5
2020-9-1 14:00,1012
2020-9-1 15:00,934.4
2020-9-1 16:00,914.8
2020-9-1 17:00,800.6
2020-9-1 18:00,549.3
2020-9-1 19:00,859.6
2020-9-1 20:00,1250.9
2020-9-1 21:00,822.1
2020-9-1 22:00,781.5
2020-9-1 23:00,661
2020-9-2 00:00,493.3
2020-9-2 01:00,266.1
2020-9-2 02:00,176.8
2020-9-2 03:00,117.6
2020-9-2 04:00,97.3
2020-9-2 05:00,104.8
2020-9-2 06:00,144.2
2020-9-2 07:00,233.6
2020-9-2 08:00,530.2
2020-9-2 09:00,785.6
2020-9-2 10:00,890.5
2020-9-2 11:00,869.4
2020-9-2 12:00,668.9
2020-9-2 13:00,775.6
2020-9-2 14:00,852
2020-9-2 15:00,896.9
2020-9-2 16:00,893.4
2020-9-2 17:00,735.5
2020-9-2 18:00,505.8
2020-9-2 19:00,499.7
2020-9-2 20:00,599.1
2020-9-2 21:00,664.7
2020-9-2 22:00,661.4
2020-9-2 23:00,571.4
2020-9-3 00:00,444.1
2020-9-3 01:00,232.1
2020-9-3 02:00,137.5
2020-9-3 03:00,84.4
2020-9-3 04:00,63.4
2020-9-3 05:00,67.9
2020-9-3 06:00,109.5
2020-9-3 07:00,196.9
2020-9-3 08:00,501.9
